epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3524.81,0.32222,0.44868,0.35172,0.86457,0.96149,0.96042,0.98553,0.96076,0.96017,0.9591,0.98428,0.86992,0.22685,0.42313,0.24502,0.81977,0.0016238,0.0016238,0.0016238
40,3613.33,0.32147,0.49622,0.34071,0.87088,0.9493,0.96438,0.98616,0.96337,0.948,0.96306,0.98413,0.874,0.23399,0.40083,0.25416,0.81388,0.0016139,0.0016139,0.0016139
41,3702.01,0.32116,0.4947,0.33783,0.86109,0.92587,0.93915,0.97538,0.9472,0.92453,0.93729,0.97495,0.8705,0.25001,0.47163,0.30503,0.81831,0.001604,0.001604,0.001604
42,3790.75,0.31977,0.53749,0.33802,0.87005,0.95373,0.95175,0.98285,0.95864,0.95373,0.95175,0.97878,0.87238,0.22571,0.37914,0.27662,0.81394,0.0015941,0.0015941,0.0015941
43,3879.31,0.33448,0.50056,0.36329,0.88209,0.92977,0.56332,0.77716,0.6705,0.9242,0.55937,0.76164,0.57848,0.78362,1.77946,1.69808,1.25395,0.0015842,0.0015842,0.0015842
44,3968.06,0.32359,0.51107,0.33638,0.8715,0.9438,0.97493,0.98737,0.96841,0.94252,0.97361,0.98636,0.88069,0.20983,0.43325,0.24312,0.80241,0.0015743,0.0015743,0.0015743
45,4057.83,0.31654,0.46727,0.35302,0.86248,0.96071,0.96764,0.98751,0.96623,0.9594,0.96632,0.98698,0.87685,0.227,0.3796,0.24424,0.81002,0.0015644,0.0015644,0.0015644
46,4146.5,0.31565,0.49271,0.46497,0.86259,0.96109,0.96042,0.98788,0.96826,0.96109,0.96042,0.98729,0.87449,0.21304,0.40884,0.23309,0.80711,0.0015545,0.0015545,0.0015545
47,4235.26,0.30668,0.48675,0.33647,0.86139,0.95579,0.96834,0.98454,0.96221,0.95439,0.96702,0.9819,0.87918,0.21754,0.40019,0.25505,0.81354,0.0015446,0.0015446,0.0015446
48,4323.75,0.30881,0.45107,0.32069,0.86071,0.96518,0.96966,0.98916,0.97019,0.96387,0.96834,0.98693,0.88214,0.20889,0.33694,0.21977,0.8066,0.0015347,0.0015347,0.0015347
49,4413.12,0.31306,0.43077,0.32621,0.87356,0.79127,0.45778,0.57185,0.46191,0.77461,0.44459,0.54912,0.39025,1.09352,2.21683,1.94834,1.57468,0.0015248,0.0015248,0.0015248
50,4501.63,0.3059,0.48555,0.32941,0.86035,0.96684,0.96151,0.9874,0.9688,0.96551,0.96028,0.98605,0.8771,0.19954,0.32656,0.2234,0.80376,0.0015149,0.0015149,0.0015149
51,4590.1,0.31678,0.47542,0.34231,0.87012,0.9653,0.96306,0.98795,0.96801,0.96506,0.96174,0.98533,0.8691,0.19818,0.33758,0.2404,0.80097,0.001505,0.001505,0.001505
52,4678.72,0.30532,0.44421,0.30646,0.85836,0.96831,0.95383,0.98789,0.96202,0.96831,0.95383,0.98509,0.86953,0.21594,0.41964,0.22517,0.80625,0.0014951,0.0014951,0.0014951
53,4767.09,0.31601,0.43395,0.32319,0.86892,0.97033,0.9657,0.98955,0.97252,0.97066,0.9657,0.98918,0.88537,0.20222,0.36577,0.21363,0.80263,0.0014852,0.0014852,0.0014852
54,4856.75,0.30849,0.46619,0.31249,0.859,0.95623,0.95383,0.98605,0.96789,0.95623,0.95383,0.98297,0.88349,0.20199,0.36339,0.23786,0.80766,0.0014753,0.0014753,0.0014753
55,4945.2,0.30338,0.46371,0.31688,0.85764,0.97343,0.96652,0.9898,0.97278,0.97342,0.9662,0.98966,0.88331,0.20296,0.41471,0.20505,0.80715,0.0014654,0.0014654,0.0014654
56,5033.66,0.30703,0.43244,0.30525,0.85837,0.96956,0.96641,0.98929,0.97078,0.96823,0.96509,0.98752,0.88476,0.21265,0.38543,0.21714,0.80752,0.0014555,0.0014555,0.0014555
57,5121.95,0.29515,0.43523,0.3283,0.86092,0.94675,0.96042,0.98518,0.96573,0.94545,0.9591,0.98349,0.87366,0.18826,0.37056,0.23889,0.79748,0.0014456,0.0014456,0.0014456
58,5210.24,0.2917,0.4244,0.30511,0.85963,0.92195,0.89182,0.9561,0.90709,0.92071,0.88849,0.95097,0.81356,0.31292,0.54507,0.3507,0.87075,0.0014357,0.0014357,0.0014357
59,5298.7,0.30284,0.44006,0.38691,0.85347,0.94012,0.94591,0.97804,0.95431,0.94012,0.94591,0.97613,0.86229,0.23918,0.41182,0.27019,0.82394,0.0014258,0.0014258,0.0014258
60,5387.03,0.29573,0.44965,0.35653,0.85534,0.96439,0.96438,0.9869,0.97241,0.96307,0.96306,0.9865,0.87939,0.20299,0.33836,0.2266,0.79996,0.0014159,0.0014159,0.0014159
61,5475.38,0.28964,0.42415,0.30301,0.85264,0.96749,0.97493,0.98901,0.97316,0.96646,0.97361,0.98878,0.87696,0.19117,0.35414,0.20065,0.79883,0.001406,0.001406,0.001406
62,5564.05,0.29542,0.42179,0.30278,0.86249,0.96576,0.96762,0.98812,0.9642,0.96576,0.96762,0.98648,0.87931,0.22099,0.36677,0.21136,0.81172,0.0013961,0.0013961,0.0013961
63,5652.59,0.28927,0.42458,0.29683,0.85353,0.97214,0.96666,0.98976,0.9717,0.97214,0.96666,0.9891,0.89413,0.20297,0.34328,0.21147,0.80735,0.0013862,0.0013862,0.0013862
64,5742.07,0.28737,0.39841,0.29483,0.85438,0.96973,0.97217,0.99077,0.97591,0.96842,0.97085,0.98968,0.88926,0.19009,0.36438,0.19649,0.80266,0.0013763,0.0013763,0.0013763
65,5830.44,0.29527,0.43134,0.32401,0.85812,0.96815,0.94987,0.98619,0.96587,0.96815,0.94987,0.98531,0.8795,0.20199,0.38262,0.23925,0.8075,0.0013664,0.0013664,0.0013664
66,5918.89,0.28537,0.43621,0.30748,0.8597,0.95246,0.96966,0.98682,0.9685,0.95214,0.97114,0.98496,0.88533,0.20147,0.43228,0.24107,0.80555,0.0013565,0.0013565,0.0013565
67,6007.19,0.29949,0.5002,0.30756,0.85783,0.95438,0.96605,0.98789,0.96887,0.95438,0.96605,0.98381,0.87993,0.20042,0.40357,0.22624,0.80624,0.0013466,0.0013466,0.0013466
68,6095.66,0.29456,0.42098,0.30907,0.8468,0.96731,0.96438,0.98866,0.97326,0.96978,0.95778,0.98658,0.89068,0.19659,0.35907,0.20378,0.80384,0.0013367,0.0013367,0.0013367
69,6183.96,0.28566,0.42959,0.30825,0.85291,0.97195,0.95998,0.98815,0.97139,0.97195,0.95998,0.98545,0.87829,0.18805,0.44271,0.22036,0.79965,0.0013268,0.0013268,0.0013268
70,6272.41,0.28343,0.41873,0.27974,0.85133,0.96449,0.96752,0.98811,0.96891,0.96946,0.96306,0.9867,0.88257,0.19489,0.39763,0.20889,0.80098,0.0013169,0.0013169,0.0013169
71,6360.67,0.27893,0.42263,0.27713,0.84985,0.93086,0.8628,0.93962,0.89793,0.92943,0.86148,0.93629,0.80023,0.29146,0.69373,0.38637,0.8652,0.001307,0.001307,0.001307
72,6448.95,0.27376,0.41004,0.27022,0.85549,0.9722,0.96902,0.99002,0.97586,0.97088,0.9677,0.98946,0.8899,0.18235,0.35181,0.19809,0.8005,0.0012971,0.0012971,0.0012971
73,6537.3,0.28303,0.43737,0.29642,0.84911,0.96338,0.97178,0.98606,0.9675,0.96207,0.97046,0.98271,0.8713,0.1956,0.41785,0.22077,0.80509,0.0012872,0.0012872,0.0012872
74,6625.76,0.27574,0.41187,0.27833,0.8478,0.95543,0.96834,0.98471,0.96206,0.95393,0.96702,0.98182,0.88317,0.21416,0.42542,0.22288,0.81164,0.0012773,0.0012773,0.0012773
75,6713.93,0.27696,0.46324,0.28768,0.84943,0.95407,0.9591,0.98172,0.95708,0.95274,0.95738,0.97862,0.85287,0.211,0.51524,0.23849,0.81793,0.0012674,0.0012674,0.0012674
76,6802.33,0.28075,0.41248,0.27349,0.85123,0.9658,0.96879,0.9873,0.97001,0.96449,0.96747,0.98706,0.87198,0.19434,0.41677,0.22223,0.80761,0.0012575,0.0012575,0.0012575
77,6890.75,0.27881,0.41556,0.32333,0.84983,0.94262,0.95364,0.97574,0.95376,0.94001,0.951,0.97351,0.85842,0.21336,0.3803,0.25675,0.81553,0.0012476,0.0012476,0.0012476
78,6979.09,0.26899,0.38671,0.26576,0.84646,0.96701,0.96678,0.98713,0.97106,0.96569,0.96546,0.98434,0.88313,0.18472,0.33412,0.20777,0.80389,0.0012377,0.0012377,0.0012377
79,7067.55,0.27508,0.40516,0.26657,0.85182,0.96176,0.97889,0.99078,0.97713,0.96047,0.97757,0.98895,0.88774,0.18469,0.3408,0.19847,0.79881,0.0012278,0.0012278,0.0012278
80,7155.82,0.27308,0.38457,0.27863,0.84745,0.96455,0.98417,0.98808,0.97199,0.96455,0.98417,0.98438,0.89217,0.1966,0.34468,0.20764,0.80327,0.0012179,0.0012179,0.0012179
81,7244.13,0.26249,0.36579,0.27298,0.83971,0.95607,0.97616,0.98671,0.97125,0.95478,0.97484,0.98526,0.88913,0.18587,0.37199,0.20896,0.80667,0.001208,0.001208,0.001208
82,7332.49,0.26826,0.38551,0.42468,0.84316,0.97109,0.95515,0.98572,0.9683,0.96975,0.95383,0.9846,0.8879,0.20213,0.36378,0.21724,0.81074,0.0011981,0.0011981,0.0011981
83,7420.73,0.27201,0.4387,0.29455,0.84442,0.9699,0.96306,0.98794,0.96842,0.96857,0.96174,0.98415,0.89047,0.19679,0.33856,0.19993,0.80902,0.0011882,0.0011882,0.0011882
